# Atmospheric transmission vs. wavelength (airmass = 1)
#
# Source: Patat et al. 2011, A&A 527, A91, "Optical atmospheric extinction
#   over Cerro Paranal" (arXiv:1011.6156), Table B.1. Spectroscopically
#   measured extinction coefficient k(lambda) [mag/airmass], converted here
#   to transmission via T(lambda) = 10^(-0.4 * k(lambda)).
#
#   wavelength_nm    transmission
          300.0          0.3293
          305.0          0.3545
          310.0          0.3816
          315.0          0.4108
          320.0          0.4422
          325.0          0.4760
          330.0          0.5124
          335.0          0.5516
          340.0          0.5789
          345.0          0.5935
          350.0          0.6087
          355.0          0.6223
          360.0          0.6362
          365.0          0.6504
          370.0          0.6650
          375.0          0.6795
          380.0          0.6934
          385.0          0.7034
          390.0          0.7109
          395.0          0.7218
          400.0          0.7328
          405.0          0.7427
          410.0          0.7537
          415.0          0.7645
          420.0          0.7730
          425.0          0.7802
          430.0          0.7878
          435.0          0.7965
          440.0          0.8054
          445.0          0.8128
          450.0          0.8192
          455.0          0.8257
          460.0          0.8310
          465.0          0.8364
          470.0          0.8414
          475.0          0.8445
          480.0          0.8480
          485.0          0.8531
          490.0          0.8586
          495.0          0.8634
          500.0          0.8658
          505.0          0.8674
          510.0          0.8714
          515.0          0.8754
          520.0          0.8774
          525.0          0.8790
          530.0          0.8798
          535.0          0.8819
          540.0          0.8843
          545.0          0.8855
          550.0          0.8872
          555.0          0.8888
          560.0          0.8892
          565.0          0.8880
          570.0          0.8855
          575.0          0.8847
          580.0          0.8888
          585.0          0.8929
          590.0          0.8925
          595.0          0.8925
          600.0          0.8958
          605.0          0.8987
          610.0          0.9024
          615.0          0.9070
          620.0          0.9095
          625.0          0.9116
          630.0          0.9145
          635.0          0.9175
          640.0          0.9217
          645.0          0.9243
          650.0          0.9251
          655.0          0.9273
          660.0          0.9303
          665.0          0.9341
          670.0          0.9376
          675.0          0.9410
          680.0          0.9428
          685.0          0.9428
          690.0          0.9428
          695.0          0.9428
          700.0          0.9428
          705.0          0.9428
          710.0          0.9442
          715.0          0.9460
          720.0          0.9478
          725.0          0.9496
          730.0          0.9513
          735.0          0.9531
          740.0          0.9549
          745.0          0.9568
          750.0          0.9573
          755.0          0.9578
          760.0          0.9584
          765.0          0.9589
          770.0          0.9595
          775.0          0.9600
          780.0          0.9605
          785.0          0.9611
          790.0          0.9616
          795.0          0.9622
          800.0          0.9630
          805.0          0.9638
          810.0          0.9646
          815.0          0.9654
          820.0          0.9662
          825.0          0.9670
          830.0          0.9678
          835.0          0.9686
          840.0          0.9694
          845.0          0.9702
          850.0          0.9710
          855.0          0.9715
          860.0          0.9720
          865.0          0.9725
          870.0          0.9729
          875.0          0.9731
          880.0          0.9734
          885.0          0.9736
          890.0          0.9739
          895.0          0.9742
          900.0          0.9745
          905.0          0.9747
          910.0          0.9750
          915.0          0.9753
          920.0          0.9756
          925.0          0.9758
          930.0          0.9761
          935.0          0.9764
          940.0          0.9767
          945.0          0.9769
          950.0          0.9772
          955.0          0.9775
          960.0          0.9777
          965.0          0.9780
          970.0          0.9783
          975.0          0.9786
          980.0          0.9788
          985.0          0.9791
          990.0          0.9794
          995.0          0.9797
         1000.0          0.9799
         1005.0          0.9799
         1010.0          0.9799
         1015.0          0.9799
         1020.0          0.9799
         1025.0          0.9799
         1030.0          0.9799
         1035.0          0.9799
         1040.0          0.9799
         1045.0          0.9799
         1050.0          0.9799
         1055.0          0.9799
         1060.0          0.9799
         1065.0          0.9799
         1070.0          0.9799
         1075.0          0.9799
         1080.0          0.9799
         1085.0          0.9799
         1090.0          0.9799
         1095.0          0.9799
         1100.0          0.9799
