# Spectral photon flux vs. wavelength for a zero-magnitude (m = 0) source.
#
#   wavelength_nm     photon_flux_per_s_per_m3
          300.0                 4.255185e+16
          305.0                 4.456518e+16
          310.0                 4.666123e+16
          315.0                 4.884315e+16
          320.0                 5.111422e+16
          325.0                 5.347783e+16
          330.0                 5.593750e+16
          335.0                 5.849686e+16
          340.0                 6.115969e+16
          345.0                 6.392991e+16
          350.0                 6.681157e+16
          355.0                 6.980888e+16
          360.0                 7.292618e+16
          365.0                 7.616798e+16
          370.0                 7.953897e+16
          375.0                 8.304398e+16
          380.0                 8.668803e+16
          385.0                 9.047631e+16
          390.0                 9.441422e+16
          395.0                 9.850733e+16
          400.0                 1.027614e+17
          405.0                 1.071825e+17
          410.0                 1.117767e+17
          415.0                 1.165505e+17
          420.0                 1.215105e+17
          425.0                 1.266637e+17
          430.0                 1.320172e+17
          435.0                 1.375783e+17
          440.0                 1.373193e+17
          445.0                 1.355774e+17
          450.0                 1.338407e+17
          455.0                 1.321100e+17
          460.0                 1.303858e+17
          465.0                 1.286690e+17
          470.0                 1.269601e+17
          475.0                 1.252597e+17
          480.0                 1.235684e+17
          485.0                 1.218866e+17
          490.0                 1.202151e+17
          495.0                 1.185540e+17
          500.0                 1.169040e+17
          505.0                 1.152655e+17
          510.0                 1.136387e+17
          515.0                 1.120242e+17
          520.0                 1.104222e+17
          525.0                 1.088330e+17
          530.0                 1.072570e+17
          535.0                 1.056944e+17
          540.0                 1.041454e+17
          545.0                 1.026104e+17
          550.0                 1.008704e+17
          555.0                 9.915167e+16
          560.0                 9.745433e+16
          565.0                 9.577842e+16
          570.0                 9.412395e+16
          575.0                 9.249095e+16
          580.0                 9.087940e+16
          585.0                 8.928930e+16
          590.0                 8.772061e+16
          595.0                 8.617329e+16
          600.0                 8.464729e+16
          605.0                 8.314254e+16
          610.0                 8.165895e+16
          615.0                 8.019646e+16
          620.0                 7.875495e+16
          625.0                 7.733432e+16
          630.0                 7.593445e+16
          635.0                 7.455523e+16
          640.0                 7.319653e+16
          645.0                 7.230268e+16
          650.0                 7.152564e+16
          655.0                 7.075277e+16
          660.0                 6.998417e+16
          665.0                 6.921994e+16
          670.0                 6.846019e+16
          675.0                 6.770501e+16
          680.0                 6.695449e+16
          685.0                 6.620870e+16
          690.0                 6.517125e+16
          695.0                 6.414669e+16
          700.0                 6.313496e+16
          705.0                 6.213602e+16
          710.0                 6.114982e+16
          715.0                 6.017628e+16
          720.0                 5.921534e+16
          725.0                 5.826694e+16
          730.0                 5.733100e+16
          735.0                 5.640745e+16
          740.0                 5.549621e+16
          745.0                 5.459719e+16
          750.0                 5.371032e+16
          755.0                 5.283551e+16
          760.0                 5.197267e+16
          765.0                 5.112170e+16
          770.0                 5.028252e+16
          775.0                 4.945503e+16
          780.0                 4.863914e+16
          785.0                 4.783474e+16
          790.0                 4.704173e+16
          795.0                 4.626002e+16
          800.0                 4.564208e+16
          805.0                 4.525739e+16
          810.0                 4.487422e+16
          815.0                 4.449260e+16
          820.0                 4.411256e+16
          825.0                 4.373414e+16
          830.0                 4.335737e+16
          835.0                 4.298229e+16
          840.0                 4.260893e+16
          845.0                 4.223731e+16
          850.0                 4.186747e+16
          855.0                 4.149943e+16
          860.0                 4.113322e+16
          865.0                 4.076886e+16
          870.0                 4.040639e+16
          875.0                 4.004581e+16
          880.0                 3.968715e+16
          885.0                 3.933043e+16
          890.0                 3.897568e+16
          895.0                 3.862291e+16
          900.0                 3.827213e+16
          905.0                 3.792338e+16
          910.0                 3.757665e+16
          915.0                 3.723197e+16
          920.0                 3.688935e+16
          925.0                 3.654880e+16
          930.0                 3.621034e+16
          935.0                 3.587397e+16
          940.0                 3.553971e+16
          945.0                 3.520758e+16
          950.0                 3.487757e+16
          955.0                 3.454969e+16
          960.0                 3.422396e+16
          965.0                 3.390038e+16
          970.0                 3.357896e+16
          975.0                 3.325970e+16
          980.0                 3.294261e+16
          985.0                 3.262770e+16
          990.0                 3.231496e+16
          995.0                 3.200441e+16
         1000.0                 3.169603e+16
         1005.0                 3.138985e+16
         1010.0                 3.108585e+16
         1015.0                 3.078405e+16
         1020.0                 3.048443e+16
         1025.0                 3.018700e+16
         1030.0                 2.989177e+16
         1035.0                 2.959872e+16
         1040.0                 2.930786e+16
         1045.0                 2.901920e+16
         1050.0                 2.873271e+16
         1055.0                 2.844841e+16
         1060.0                 2.816629e+16
         1065.0                 2.788635e+16
         1070.0                 2.760858e+16
         1075.0                 2.733298e+16
         1080.0                 2.705955e+16
         1085.0                 2.678827e+16
         1090.0                 2.651916e+16
         1095.0                 2.625219e+16
         1100.0                 2.598737e+16
